modality,query,answer,pdf,page
text,What table is used to describe the performance of a classification model on a set of test data?,confusion matrix,1374729,29
text,What kind of machines usually apply to regression and classification problems?,Support Vector Machines,1374729,26
text,"{""text"":[""What does Lorraine Wardy love partnering her new purse with?"",""query not realistic""]}",white linen,1292903,0
text,Who acknowledge the limitations of a simplistic view of the economy?,Marshall,1000367,2
text,What is the term used for the exploitation of renewable resources?,bioeconomics,1000367,2
text,What is Georgescu-Roegen’s view of sustainability of the economic process?,"is not about stabilizing the  ﬂ ows of goods and services produced and consumed in the economy, but about reprodu- cing the fund elements that are associated with the stabilization of the metabolized  ﬂ ows",1000367,5
text,How does the Game of Our Own programme aim to change perceptions among girls?,d e v e l o p  c h ara ct e r  e d u c a ti o n  in  g ir l s  thr o u gh  a  lif e -  s ki ll  a p pro a c h  t o  th e  d e l i v e ry  o f  f oo tb a ll  i n  c urr i c u l um  P E  l e ss on s,1409378,6
text,What measures has the Youth Sport Trust implemented to support staff wellbeing during the Coronavirus pandemic?,h a v e  r e g ul ar  c o m m un i ca ti on  m ee tin g s  w i t h  a ll  s ta ff  in cl u din g  w ee kl y  sta ff  b ri e fin gs,1409378,40
text,Where does the Youth Sport Trust in the UK get their funding?,S p o rt  E n g l an d,1409378,12
text,Which states used the direct entry or mail and direct entry options for the adult family survey in 2016/17?,"DE, KY, LA, MO, MS, NC, and NJ",1416287,8
text,Which organizations oversee the coordination of the National Core Indicators program?,National Association of State Directors of Developmental Disabilities Services (NASDDDS) and the Human Services Research Institute  (HSRI),1416287,6
text, How has the method for calculating the national core indicator’s average changed to better reflect the relative number of people receiving services in participating states systems?,"the NCI average was calculated as the simple arithmetic mean of all state means (an approach known as “average of  averages”). This year, the approach has been enhanced to take into account the relative numbers of people receiving services through  participating states’ systems. Beginning this year, the NCI averages contained in this report are “weighted” means.",1416287,9
text,Which large-scale commercial plants were established as a result of Martin Vydra's efforts in accessing various markets?,"China (zinc processing and coinage), Australia (HPAL), and in South  America (pressure oxidation of sulphide ores)",1416620,7
text,What areas of finance does Justin Cochrane specialize in?,"Mr.  Cochrane’s expertise is in the structuring, negotiation, execution and funding of royalty and stream financing  contracts around the world, across dozens of projects, totalling over $ 2 billion.",1416620,7
text,How does Nickel 28 Capital Corp. focus its business strategy in the battery metals industry?,"focus on metal streaming and royalty agreements, which  have concentrated exposure to metals integral to key technologies of the electric vehicle and energy storage  markets",1416620,0
text,"What is the purpose of determining the independent diagnostic value of CT emphysema, CT air trapping, and CT bronchial wall thickness in low-dose screening CT scans?","Since pulmonary function testing is not regularly incorporated in lung cancer screening, imaging biomarkers for COPD are likely to provide important surrogate measures for disease evaluation.",1423082,0
text,What CT biomarkers were automatically quantified in the CT scans for COPD diagnosis?,"Emphysema, air trapping and bronchial wall thickness",1423082,0
text,is ct or chest radiography more effective in screening for lung cancer,the National Lung Screening Trial (NLST) reported a 20% lung cancer mortality reduction in the CT arm compared to the chest radiography arm of the screening trial,1423082,1
text,what is a likely cause of phenotypes of charcot marie tooth disease?,"myelin protein zero  (MPZ, P0) gene mutations",1428058,16
text,What is hereditary motor and sensory neuropathy commonly referred to as?,Charcot-Marie-Tooth (CMT) disease,1428058,5
text,What are the primary genetic defects associated with hereditary motor and sensory neuropathy types I and II?,"The most common is duplication or deletion of the PMP 22 gene at  chromosome 17, which results in the either the phenotype CMT 1A or HNPP  (hereditary neuropathy with liability to pressure palsies). The second most common  is the mutation of the gene for connexin 32, which is responsible for the phenotype  CMTX. Less common are mutations of MPZ gene resulting in a variety of  phenotypes, including Dejerine-Sottas syndrome.",1428058,5
text,What measures did Vietnam implement to combat covid?,"The government moved  swiftly to implement border closures, extensive contact tracing,  targeted lockdowns, and a strict quarantine protocol.",1441367,0
text,when was the first documented case of covid 19 in vietnam,"January 22, 2020",1441367,0
text,"How did Vietnam's per-capita GDP in 2019 compare to that of other emerging economies such as Indonesia, Thailand, South Africa, and Brazil?",was less than,1441367,2
text,Why is URW a high risk?,"because of its assets and gearing, a function not only of COVID but  a Supervisory Board comprehensively outwitted by the Lowy family on the Westfield  acquisition.  Consequently, it represents an ongoing trading opportunity against this backdrop  of a large value gap",1442731,1
text,What is the gross Singapore petrol refiner margin?,The difference between the price of Tapis crude oil and petrol from Singapore refineries,1445507,2
text,What factors can push prices of crude oil and petroleum products upward in the worldwide marketplace?,any disruption to supply – or even the threat of disruption – can push prices upward,1445507,1
text,What is the standard for commercially traded unleaded petrol of Australian grade?,MOPS95,1445507,17
text,What were the conditions that led to the high water levels of Lake Ontario in 2017?,"extreme wet  weather in the Lake Ontario basin, record inflows from Lake Erie, and reduced outflow capacity  due to downstream flooding on the St. Lawrence and Ottawa rivers",1452082,4
text,how did the city of toronto respond to the affects of the flood conditions in 2017?,"deployed over 45,000 sandbags, 1000 meter bags, and over a  dozen industrial pumps to mitigate the effects of the rising water",1452082,3
text,Who conducted the Secretarial Audit to assess compliance with statutory provisions and adherence to good corporate practices by Winmore Leasing and Holdings Limited for the financial year ending in March 2018?,Shailesh A. Kachalia,1456765,17
text,"In 2017/18, what were the two segments of the Winmore Leasing and Holding Limited's business activity?",Leasing and Investments,1456765,7
text,What is the cause of the decline in revenue from operations of the Winmore Leasing and Holding Limited in 2018?,absence of sale of  traded goods,1456765,7
text,What do the greenways serve as on an ecological standpoint? ,"These greenways  serve as habitat protection, flood hazard reduction, and historical education points.",1459957,13
text,how can public investment projects like the addition of greenways affect the residents of that city,alter other demographic factors including increasing adjacent rental rates  and changing neighborhood racial and income composition to be whiter and wealthier,1459957,1
text,What are the four main characteristics that define greenways?,"spatial configuration is  always linear; they provide linkage across the larger landscape; they encompass multifunctional  cultural, ecological, social, and aesthetic goals; and they work towards both economic and  environmental sustainable development",1459957,10
text,How do perceptions of capability influence the success of girls?,"If girls do not believe they are capable, they are unlikely to succeed.",1460829,6
text,when is the best time to encourage girls to pursue a career in stem?,before high school,1460829,6
text,What happened when Medicare inpatient prospective payment system was created in 1983 for small rural hospitals?,large Medicare losses and increased financial distress,1462007,8
text,What can rural hospitals do to generate cash flow to meet their operational needs?,the increased Medicaid  eligibility and enrollment under the Patient Protection and Affordable Care  Act,1462007,29
text,Which region did the Government Accountability Office reveal as having a disproportionate number of rural hospital closures?,the South,1462007,1
text,"What is the primary contribution of the paper ""Botnets dominate today’s attack landscape"" by Z. Li, A. Goyal, Y. Chen, and V. Paxson?","the development of a set of techniques for analyzing botnet events, most of which do not require the use of responders",1464850,0
text,What is the primary cause of misconfiguration at large-scale botnet probing events?,P2P trafﬁc,1464850,2
text,What is the primary aim of the International Youth to Youth Summit?,provide a platform for youth as future leaders of the world that allows  engaging in the discussion regarding the most pressing challenges that the world is facing,1465272,1
text,What is the purpose of the Y2Y Alumni Network?,"a space for strengthening  unity between youth from diferent continents of the world, as well as bridging the gap among  the countries",1465272,2
text,what is the age demographic of individuals invited to the youth to youth international summit in dubai,between  18 and 35 years old,1465272,1
text," What is the approximate increase in the weekly vaccine roll-out due to the additional doses provided by 2,000 pharmacies?","193,500  doses",1475216,14
text,How was the Larson Air Force Base repurposed?,now  a world-class heavy  jet  training and testing  facility,1476497,47
text,"What is the purpose of the ""A Night in a Box"" event in Grant County?",raise funds for a future warming center,1476497,4
text,Who are the primary customers served by Bank of America?,"serving individual consumers, small and middle-market businesses  and large corporations",1487957,25
text,"What responsibilities do bank affiliates have regarding securities sold, offered, or recommended by broker-dealers?",not responsible,1487957,27
text,Which regions were compared to assess rates of intussusception admission before and after the RV vaccine program introduction?,"BC, Saskatchewan, Ontario, PEI, Yukon included as P/Ts with program",1488545,15
text,What organizations funded the RV immunization program?,Public Health Ontario (PHO) and the  Canadian Immunization Research Network (CIRN),1488545,1
text,what part of the body does rotavirus affect,gastrointestinal,1488545,2
text,What action should policymakers take to address shortages?,incentivise a strong uptake of apprenticeshgips and  traineeships,1489127,8
text,What are some things the McKell Institute recommended for making early childhood care more accessible?,"The Federal Government should allocate $48.5m to increase the amount of in-home care (IHC)  places available to 8,500 to cover all shift workers with children who have the most complex needs.",1489127,5
text,What are some of the symptoms of anaphylaxis? ,difficulty breathing or noisy breathing  • swelling of the tongue  • swelling/tightness in the throat    • difficulty talking and/or a hoarse voice  • wheezing or persistent coughing  • loss of consciousness and/or collapse  • young children may appear pale and floppy,1489509,2
text,"What is the purpose of the Universal Description, Discovery, and Integration standard?",allows services to be speciﬁed and searched for by means of business categories and service types,1493562,1
text,What was the general theme of the abstract of Dominik Kuropka’s writings?,"intro- duces a semantic service platform that implements dynamic matchmaking, composition and binding of semantically de- scribed services",1493562,0
text,What crucial information does the IAEA lack regarding Iran's nuclear activities?,"the actual design or  manufacture by Iran of nuclear material components of a nuclear weapon or of certain  other key components, such as initiators, or on related nuclear physics studies",1496713,31
text,What is the likelihood that Iran has the ability to eventually develop nuclear weapons?,"We assess  with high confidence that Iran has the  scientific,  technical  and industrial capacity eventually to  produce nuclear  weapons.",1496713,5
text,What traditional dilemma involves balancing safety and efficiency in traffic management?,Safety versus efficiency,1500797,10
text,what us the purpose of safe system assessments?,"  They identify the aspects of a facility that  affect the exposure to, likelihood of, and severity of different types of crashes.",1500797,8
text,What steps did Nevada Institute for Children's Research staff take to identify perceived barriers to enrollment in the Care4life program?,partner with two community partners  to hold focus groups to determine reasons individuals did not enroll into the Care4life program,1500961,23
text,What was the focus of the outreach protocols for increasing smoke-free options within properties?,"emphasized the importance of speaking with the property manager at each  location, if possible. This helped to ensure that the information was provided to the person who would  potentially have the most power to make decisions regarding the implementation of smoke-free policies",1500961,13
text,what is the difference between population and sample in statistics,Population   ►   Largest group of similar things (which can include people).    Sample   ►   Smaller group from the population that is supposed to         represent that population.,1502288,0
text,What is the purpose of collecting a sample of data from a population?,"Since in most situations data from an entire population are  nearly impossible to collect, researchers collect a  sample  of data from that  population.",1502288,0
text,What is the difference between descriptive statistics and inferential statistics?,"Descriptive statistics   ►   Summary of a variable for a sample.  Procedures for organizing, summarizing, and  displaying data.    Inferential statistics   ►   Ways to find relationships among variables.",1502288,1
text,what kind of skills can be developed through musical learning?,complex cognitive and bimanual motor skill acquisition as well as  sensory stimulation,1507398,2
text,what area of the brain is the mirror neuron system,posterior inferior frontal gyrus and the arcuate fasciculus,1507398,3
text,What are the range of skills developed when learning a musical instrument typically referred to as?,transfer skills,1507398,2
text,What are some considerable strategies for making maternal and child health services more accessible?,"Strengthen virtual care and home/community-based care models to offset need for facility- based care as much as possible by:  a)   supporting innovations that bring MNCH services closer to the end user (i.e.  telemedicine, home-based ANC, door-to-door immunizations, conditional cash  transfers)",1507643,4
text,What was the primary focus of the research on Maternal & Child Health Services in Ethiopia and India in 2020?,to better characterize and analyze the impact of  COVID-19 on MNCH in diverse health systems,1507643,2
text,"As of February 2021, what are the projected increases in child and maternal mortality in Ethiopia due to the covid pandemic?",increases of 15% for child  mortality and 8% for maternal mortality,1507643,2
text,How much will the West City Project in the Philippines cost?,US$1.2bn,1508179,3
text,How has the tightened capital control and increased attention to Chinese gamblers impacted investor concerns about the recovery of the Asia VIP gaming market?,"investors have raised concern that Asia’s VIP  gaming market will take much time to recover, with some arguing that VIP GGR may  never go back to 2019 levels",1508179,3
text,What is the current status of Gross Gaming Revenue for Paradise in South Korea?,showed little improvement,1508179,0
text,What are the six pathways through which agricultural interventions can impact nutrition?,"(1)  food access  from own-production; (2)  income  from the sale of commodities  produced; (3)  food prices  from changes in supply and demand; (4)  women’s social status and      2    empowerment  through increased access to and control over resources; (5)  women’s time  through  participation in agriculture, which can be either positive or negative for their own nutrition and that of  their children; and (6)  women’s health and nutrition  through engagement in agriculture, which also can  have either positive or negative impacts, depending on exposure to toxic agents and the balance between  energy intake and expenditure.",1513611,8
text,How does the International Food Policy Research Institute ensure sustainable food production and promote healthy food systems?,"conducts  research, communicates results, optimizes partnerships, and builds capacity",1513611,1
text,What is the purpose of the International Food Policy Research Institute?,sustainably end hunger and malnutrition and reduce poverty,1513611,1
text,"Which countries are the most and least likely to believe that their governments should do ""much more"" or ""more"" to address climate change?","Italy, Colombia,  and Spain (all 89%), and are the least likely in Saudi Arabia (42%) and Egypt (47%)",1515108,4
text,"Based on public opinion, what country are respondents most likely to say they need more information about climate change?",Philippines,1515108,3
text,What was the suggested distribution to the Business Support Program from the initial portion of aid provided by the American Rescue Plan Act?,"$100,000",1521508,2
text,"What conditions have led to the decline in interest earnings for the Village, and how does the Illinois Public Funds Investment Act impact the Village's investment opportunities?","low rate environment. The Illinois Public Funds Investment Act only allows the Village to invest in  relatively safe instruments, so while rates are low, interest income will be limited.",1521508,13
text,What were the leading causes of illness and death at the turn of the 20th century?,"infectious diseases,  such as small pox or tuberculosis",1546119,3
text,What is the obesity rate among young adults aged 20 to 45 years?,60%,1546119,2
text,what were the effects of stimulus checks?,"provided a sizable boost to overall spending this spring and helped millions of families in need. In short, stimulus checks worked.",1546950,3
text,What is the amount of the stimulus payment provided by the Rescue Plan?,"$1,400",1546950,11
text,What is the estimated total cost of the three rounds of checks according to the Joint Committee on Taxation?,nearly $1 trillion,1546950,5
text,What type of augmented reality experiences are most commonly utilized?,Games,1547364,3
text,What types of mobile augmented reality experiences have the highest potential for monetization through in-app purchases?,Mobile AR experiences that fuse the novelty of  augmentation with frequent or repeatable  activities,1547364,11
text,how does user engagement in mobile augmented reality compare to the typical usage patterns observed in other mobile applications?,active-use  challenges endemic to mobile apps aren’t as  great in AR,1547364,11
text,What type of scan should be performed to assess the extent of myocardial damage?,CT-scan,1547441,0
text,What are the classic signs and symptoms of chest pain that could be associated with myocardial infarction?,"chest pain radiating to the left arm and his jaw. In addition, the patient  experiences diaphoresis and shortness of breath",1547441,0
text,How can healthcare systems assist with hypertension intervention?,community  needs assessment and family education,1547441,10
text,What follow-up procedure is in place for the Greater Manchester Fire and Rescue Service employees wanting to return to work after being diagnosed with Covid?,For operational staff this may  have included a treadmill test to ensure they were safe to wear breathing apparatus.   Page | 42    Employees also receive a further consultation with and our Occupational Health Practitioner  after three months to check for any impact of long Covid symptoms,1555443,40
text,What were the compliance statistics for statutory medicals among the Fire and Rescue Service employees in Manchester during Q4 2020/21?,96.04%,1555443,17
text,What was the Institute for Supply Management index level in December 2020?,60.7,1564346,2
text,"How did S&P 500 companies perform in terms of earnings growth during the fourth quarter of 2020 compared to the same period in 2019, and how did it compare to initial expectations?","4% year-over-year earnings growth in  the fourth quarter of 2020 despite the difficult year-over-year comparison, as shown in   [Figure 1] ,  which was  about 13 percentage points better than the consensus estimate when the fourth quarter began",1564346,0
text,What were the main reasons for earnings optimism in early 2021 related to the ISM manufacturing index and economic factors?,because of the connection between  manufacturers’ spending plans and corporate profits,1564346,2
text,"Where are StrarWalker Industries, Inc. headquarters located?","120 Interstate North Parkway,  Suite 100, Atlanta, Georgia, 30339",1584301,17
text,What is the primary goal of StarWalker Industries?,reduce the amount of plastic  being dumped in landfills and to build a sustainable closed-loop bottled water  recycling plant,1584301,6
text,With whom has StarWalker distribution established a relationship with?,"two (2) national  distribution foodservice Co-ops, UniPro and Legacy",1584301,30
text,What motivates the subsidies for electric vehicles in many countries?,climate policy,1586853,1
text,What percentage of new passenger car registrations in Germany were represented by electric cars and hybrids in 2016?,1.8%,1586853,0
text,What type of opportunity is available to entry-level investors in South Africa? ,"land, small  scale warehousing and prime, long-WALE assets",1593732,11
text,How are the consolidations of the South East Regional Australia and Melbourne entities expected to benefit operations?,"to improve client services, and create further  operational efficiencies across the business",1593732,1
text,What certification does Haron Todd White company currently hold?,ISO27001  Information Security certification,1593732,1
text,How are Business and Occupation Taxes on construction primarily allocated?,for  one-time capital projects,1602122,10
text,What are some of the significant markers of the recent economic performance in the workforce of Central West Virginia?,"added more than 8,000  jobs between early-2010 and mid-2019, nearly  equaling statewide job growth over this period.  The  region saw little change  in  payrolls between mid-2014  and late-2016, but employment  in  the four-county  area  has  increased  by  3,500 since early-2017.",1602122,38
text,What additional funding is being allocated to Board Of Park And Recreation Commissioners and the Morgantown Library?,"6%  increase  in  funding  in  the amount  of  $66,000. The  Morgantown Library will also receive a  6%  increase  in  funding",1602122,7
text,what are the primary climate change stressors?,"extreme heat, sea level rise, and precipitation",1603370,15
text,"What can complicate evaluating the effectiveness of services, treatments, and supports for SUD, SMI, and SED?","Treatment and recovery for SUD, SMI, and SED can  vary based on several factors, including geography,  socioeconomics, culture, gender, race, ethnicity, and  age.",1616458,2
text,What is the anticipated budget for Harford County Public Schools' Food Service fund in 2022?,$18.6 million,1617279,0
text,"According to Maryland's Maintenance of Effort law, what requirements must each county meet in order to receive an increase in basic state school aid?",each county must appropriate an amount equal to or greater than its prior year per pupil appropriation,1617279,14
text,What happens if a patient develops endocarditis?,"can become extremely unwell, sometimes require  heart surgery to cure the problem, and sometimes even die",1625126,4
text,What is usually the impact of sex on individuals with severe or complicated heart disease?,particularly tired or breathless,1625126,6
text,What is the primary source of the bugs responsible for causing endocarditis?,mouth,1625126,4
text,What are the four primary objectives of the a city's annual budget?,"1.  To serve as a  Policy   Guide , as promulgated by the City  Council.    2.  To serve as an  Operating Guide  for management staff to aid in  the control of financial resources, while complying with State  requirements for General Law cities and generally accepted  accounting principles for government.    3.  To present the City’s  Financial Plan  for the fiscal year,  illustrating appropriations and projected revenues by which the  appropriations are funded.    4.  To serve as a  Communication Document  for the citizens of  Melissa who wish to understand how the City operates and the  methods used to finance those operations.",1629440,6
text,What factors are contributing to the increase in water rates in the City of Melissa?,"increase in wholesale rates set by the North Texas  Municipal Water District (NTMWD), the City’s water supplier and wastewater treatment  provider and the new debt service associated with an economic development  opportunity",1629440,7
text,What is HeveaConnect?,HeveaConnect is a digital trading and data platform for the natural rubber supply chain,1630961,1
text,"What did World Wildlife Funding, Target Corporation, and HeveaConnect investigate regarding rubber smallholders in Indonesia?",processing and sale of  rubberwood from over-aged rubber trees in Indonesia can serve as a viable  financing mechanism for rubber smallholders,1630961,4
text,"What percentage of vehicles from 13 automakers in the United States, model year 2019, were equipped with pedestrian crash avoidance technologies?",60 percent,1636203,1
text,What was the reason for the establishment of Global Technical Regulation No. 9 in 2008?,improve pedestrian safety by requiring vehicle hoods and bumpers to  absorb energy more efficiently when impacted in a vehicle-to-pedestrian  collision,1636203,13
text,How has health care spending historically compared to overall economic growth?,grown about 2% faster,1637246,6
text,What factors have influenced Kazakhstan development since 1991?,"The abundance of natural resources, including the 12th largest  proven oil reserves in the world and the 2nd largest known recoverable resources of uranium,  the vast geographic size (9th largest country in the world by size with and 14th largest arable  land 1 ) of the land-locked country combined with a population of only 17 million, its location  at the heart of Central Asia, its proximity to Russia and China and the legacy of the Soviet  Union, have all shaped the country since 1991.",1643601,1
text,What are the six qualities of a sustainable market economy?,"competitive, integrated, well- governed, resilient, green and inclusive economy",1643601,1
text,"What is the estimated population of Surinam, including the tribes?","400,000",1652446,4
text,Where did Hermann Dudler receive his training in economics?,the  University  of Cologne  and at the  London School  of  Economics,1652446,0
text,Where did the Surinam people acquire most of their wealth?,"agriculture, mainly cotton,  coffee,  and  sugar",1652446,3
text,What is the head of investment strategy at the Bank of Singapore's perspective on the recent inflationary pressures?,"Prices are surging because of temporary shortages due to the COVID 19 pandemic, but this is expected to ease over time",1659502,3
text,Which countries does blackrock investments think are leading the world's economic restart?,US and UK,1659502,4
text,What recent data supports the improving outlook for growth in the US economy?,US ISM Services Index,1659502,4
text,Who provided an update on the Minnesota Legislative Session and Inver Grove Heights legislative priorities?,Katy Sen,1665499,2
text,What proportion of the board of education in Harford County's budget was represented by the total revenue received for FY 2020?,100.02%,1666691,0
text,What is Hardford County's board of education's total budget for active capital projects?,$332.4 million,1666691,8
text,What is one of the most common anesthetic procedures prior to various submaxillary surgeries?,Inferior Alveolar Nerve  Block,1667238,1
text,Where was the morphometric study in dry adult human mandibles for achieving a successful inferior alveolar nerve block conducted?,"Department of Morphology, Institute of  Anatomy and Anthropology, Rīga Stradiņš University, Riga, Latvia",1667238,1
text,When did the initial two waves of COVID-19 cases occur in the US?,early April and around the July 4 th  holiday,1671420,1
text,What process did the Regional Transport Committee follow for public consultation on the draft Regional Land Transport Plan 2021?,A special consultative Procedure was carried out between 5 March 2021 and 6 April  2021.,1672484,4
text,What percentage of the PMAY-G beneficiaries availed loan to use in house construction?,Eighty percent,1674265,55
text,What research methodology was employed to assess the impact of the PMAY-G on housing construction?,Randomized Control Trial,1674265,3
text,"In Edgar Allan Poe's view, when does horror reach its peak?","at under 7,500 words",1676357,8
text,What are some of the key components of the Biden Administration’s recovery proposals?,"expanding the Child Tax Credit and  Earned Income Tax Credit (EITC), making child care more affordable and expanding pre-K  education, providing workers with paid family and medical leave, making health coverage more  affordable, and strengthening nutrition programs",1681778,1
text,What emerging trend in the art world is attracting the attention of regulators?,digital artwork represented  by non-fungible tokens,1687911,5
text,What action did the Houston Methodist hospital system recently take regarding COVID-19 vaccination for its employees,"After first leaving the decision up to employees  and offering an incentive, the Houston Methodist  hospital system recently said it would require its  26,000 employees to be vaccinated for COVID-19  
 or be subject to suspension and/or termination.",1687911,3
text,What percentage increase in sales was observed in the Textile products subsector when comparing Canadian non-durable manufacturing sales from March 2021 to February 2020?,10 per cent,1689064,1
text,"What percentage of the GDP did total current healthcare expenditure in the UK account for in 2018, and how does this compare to 2017?","10.0% of gross domestic product (GDP) in  2018, compared with 9.8% in 2017",1690009,1
text,"During the 1974 business meeting of the Organization of Student Representatives within the Association of American Medical Colleges, what specific conditions were outlined in the approval of the proposed policy for the release of AAMC information?","any  information  including the  names  of  individual  medical  students  be  in  the ""restricted""  category,  and  that  this  information  he released  only  with  the  approval  of  that  individual and/or  the  OSR  Administrative  Board",1697417,8
text,"How is full-time equivalent defined for state employees, and how is it calculated for students in K-12 and higher education?","one person working full-time for one year.  This  equates to working approximately 2,088 hours of paid staff time.  Two persons working half- time count as one FTE.  For K-12 and higher education students, FTE can refer to the  equivalent of one student attending class full-time for one school year based on fixed hours of  attendance.",1704905,12
text,What period does the current budget cover for the 2019-21 biennium in Washington State's budget cycle?,"July 1, 2019 through June 30, 2021",1704905,7
text,What is the duration of Washington State's biennium budget cycle?,two-year,1704905,7
text,Under which specific provision of the American Rescue Plan Act of 2021 is funding allocated to the Treasury and for what purpose?,Emergency Rental Assistance • $21.55 billion to Treasury for Emergency Rental Assistance,1706518,4
text,How many overnight trips does Microsoft propose will be replaced by online meetings by year 3 of investing into the solutions of Microsoft 365?,350,1706862,3
text,What was the purpose of Microsoft's TEI framework?,"to identify the cost, benefit, flexibility, and  risk factors that affect the investment decision",1706862,7
text,"What percentage of Americans, older than 12, listened to the radio each week in 2017?",92%,1716961,7
text,Where was the General Data Protection Regulation originally established?,Europe,1716961,14
text,What recent data from the United States indicates both a rise in savings and an increase in spending at the same time?,"Inflation data has showed personal  incomes jumping 21.1% in March, the biggest  monthly increase on record.",1718379,0
text,"How much is the combined market cap of Apple, Microsoft, Amazon, and Google?",$7.5 trillion,1718379,0
text,"What were progressive credit union's total membership, shares, deposits, loans, surplus, assets, and income reported at the end of the 2019?","Total membership at the end of the year stood at 7,430 members. •	 Total shares stood at $84,312,767 •	 Increase in Deposits from $7,342,248 to $7,843,290 •	 Decrease in loans from $91,624,989 to $86,032,073 •	 Increase in Surplus from $4,405,798 to $4,892,484 •	 Total Assets reduced from $118,617,664 to $112,715,162 •	 Total Income decreased from $12.9 million to $12.3 million",1728679,11
text,What is the projected end-of-year credit loss for Progressive Credit Union?,"$7,163,770",1728679,28
text,What nowadays are the two largest sectors of the economy in the UK?,financial  services and the creative industries,1738963,8
text,What is the importance of nurturing creativity through education,"Since  creative skills will be so central to employment,  it is essential that these are developed across  society or the current social and economic  inequities will grow.",1738963,9
text,What is T.V.E.T. stands for?,technical and vocational education and training,1738963,4
text,"What does the term ""Ordinary Time"" in the Catholic Church's liturgical year refer to?",parts of the calendar of  the Catholic Church that are unimportant,1742062,1
text,What are the four major seasons of Catholic Church's liturgical year?,"Advent,  Christmas,  Lent,  and Easter",1742062,1
text,"Why is Ordinary Time called ""ordinary"" in the liturgical calendar of the Catholic Church?","not because it is  common, but simply because the weeks of Ordinary  Time are numbered. The Latin word  ordinalis , which  refers to numbers in a series",1742062,1
text,What is the purpose anti-bark collars?,deliver  an unpleasant stimulus when your dog barks,1747044,1
text,why do dogs bark?,it is a form of normal  communication,1747044,0
text,What does attention-seeking barking signify in dogs?,he would like something,1747044,0
text,"What factors contribute to the negative impact on the population of the Wheeling Area, where deaths consistently outnumber births","larger-than-normal  share of elderly residents, but causes of death from a host  of issues ranging from heart disease to drug overdoses  among younger cohorts living in the region",1764106,6
text,What did the job market in the Wheeling Area between late 2009 and mid-2016 look like?,"After gaining 2,600 jobs between late-2009 and early- 2014, the Wheeling Area went on to lose nearly an  equivalent amount of jobs from that point until mid- 2016.",1764106,1
text,Where can I locate information on the tariffs of all the Australasian colonies and the United Kingdom?,Victorian Year-Book   asian  colonics  1881-2,1784314,0
text,How many years has the current mode of classification been used in Victoria?,The year under review is the seventh,1784314,0
text,How frequently has the Alberta Recreation Survey been conducted since 1981?,every four years,1784333,3
text,What are the popular leisure activities for adults in Alberta?,"walking (80%),  gardening (55%), bicycling (46%), fitness/aerobics (44%), and jogging/running (32%)",1784333,8
text,Where can I reliably find additional information about COVID-19?,Center for Disease Control and Prevention,1789126,6
text,"What are the main concerns people have about the COVID-19 epidemic, and what are some of the forecasts regarding the peak of the virus and the restart of the economy?","if we are implementing the right policies, when the virus will peak, and when we can restart the  economy. Many forecasts, including the model from the Institute for Health Metrics and Evaluation (IHME), predict a peak in April",1789126,0
text,"What is the total number of confirmed Covid-19 cases in Haiti as of July 14, 2020?","6,902",1796331,10
text,What measures are taken to evaluate visitors arriving in Antigua & Barbuda on commercial flights for COVID-19?,"staying at approved accommodation are  evaluated for COVID-19 with a series of health screenings, temperature checks and nose swabs taken for  the coronavirus test",1796331,2
text,What services does small business services offer for jobseekers in New York City?,"financing assistance, business courses, legal advising,  help navigating government, recruitment and training",1808221,5
text,"According to the U.S. Department of Veterans Affairs, how many is the approximate population of veterans within the five boroughs of New York City?","235,000",1808221,7
text,Which two countries are the most important partners in security policy?,United  Kingdom and the United States,1809452,17
text,What is the overall geopolitical challenge of EU?,to find the right balance between economic efficiency  and security interests,1809452,13
text, What are some concepts that have emerged due to the deteriorating international scene?," “European sovereignty”, “strategic autonomy”, “digital sovereignty”, “technological  sovereignty” and “open strategic autonomy”",1809452,1
text,Who developed the surface Twizzle Torus?,Nicholas Schmitt,1821101,0
text,What is the Twizzle Torus?,an annular  surface with a constant  mean curvature in the three- dimensional sphere,1821101,0
text,What are the projected AirPods unit sales for the year 2023?,99.7  million,1821485,1
text,"According to Artillery Intelligence, what is the estimated size of the ""hearables"" market currently?",$10.9 million,1821485,1
text,What is Artillery Data Briefs?,research deliverables that are assembled weekly by ARtillery Intelligence  analysts to document the market trends and events they’re tracking,1821485,5
text,In what year did the Chinese Exclusion Act prevent Chinese immigrants from entering the U.S.?,1882,1836293,9
text,What is the significance of the english language to immigrants?,it connects immigrants to public life and increases overall life satisfaction,1836293,20
text,What are some of the challenges involved in 3D mapping?,obtain well- refined model using only cheap monocular camera without  additional equipment like depth sensors or active transmitter,1846515,0
text,What are some examples of sensors typically used for 3D reconstruction processes?,RGB-D (red-green-blue and depth) which is used in  Microsoft Kinect [2]. It is applied for extraction the depth from  both static and dynamic scenes in indoor [3] and outdoor  environments [4]. Another example of depth sensor is  Occipital’s structure sensor intended for mobile devices [5].  Another type of devices specially designed for capturing  depth  information  are  time-of-flight  (ToF)  cameras.,1846515,0
text,"Based on the United Nations research, what has been the trend in the death rate since 2014?",inching up about 1% to 1.5% every  year,2017568,1
text,What university utilized CDC data?,John Hopkins University,2017568,3
text,What percentage of women in Britain say they have experienced sexual harassment?,68%,2017830,3
