pdf,query,answer,gt_page
2017568.pdf,What university utilized CDC data?,John Hopkins University,3
2017830.pdf,What percentage of women in Britain say they have experienced sexual harassment?,68%,3
2017830.pdf,What percentage of American adults are worried about mass shootings? ,45%,3
2017830.pdf,Who is the co-editor of Gilani's Gallopedia weekly digest?,Asra Malik,0
2033711.pdf,What are the reasons behind the decline in productivity and prosperity in Arizona since the mid-2000s?,reduction in educational attainment in Arizona relative to the nation,18
2033711.pdf,What was Arizona's national ranking for broadband access?,36 th,18
2037338.pdf, What significant achievements were made by Fred Sanger and Janet Rossant?,Fred Sanger invents a method for rapid DNA  sequencing and publishes the first full DNA  genome of a living being  Janet Rossant creates a chimera combining two  mice species,3
2037338.pdf,How long does it typically take from incorporation to achieve the first major drug sales in the pharmaceutical industry?,8-12 years,29
2037338.pdf,What year was Humulin approved? ,1983,4
2046361.pdf,What was the year-to-year increase in unemployment in the City of Las Cruces compared to the United States?,3.3%,0
2046361.pdf,What two primary factors are driving changes in the unemployment rate in Las Cruces?,the number of employed  individuals changes or the number of those that are active in the labor market changes,5
2050937.pdf,"What was the motivation behind creating the HunterSurvey, ShooterSurvey, and AnglerSurvey?","help outdoor  businesses and the conservation community better understand trends regarding hunting, fishing  and outdoor-related spending and activities",4
2050937.pdf,What equipment is frequently purchased by freshwater and saltwater anglers?,Lures and terminal tackle,11
2050937.pdf,"According to the National Survey, which activity do sportswomen predominantly participate in? ",fishing,3
2052352.pdf,"What are the reported efficacy and safety rates for Pfizer, Moderna, J&J, and AstraZeneca covid vaccines?",70‐95% and very reasonable safety,1
2052352.pdf,What covid vaccine company announced a 95% efficacy rate and safety on November 18?,Pfizer,2
2052352.pdf,"As of 2020, were there any chemoprophylactic drugs approved for preventing SARS-CoV-2 infection?",No,142
2065810.pdf,What are the primary qualities that influence consumer acceptance of a product?,"packaging, and then on its smell, appearance, and texture (touch and feel)",1
2065810.pdf,which types of products were utilized in the study on personal-care products formulated with natural antioxidant extracts?,"hand cream, body oil, shampoo, clay mask, body exfoliating cream, and skin cleanser",0
2065810.pdf,What are six of the most important groups of cosmetic products?,"hand cream, body oil, shampoo, clay mask, body exfoliating cream, and skin cleanser",0
2068497.pdf,"When did Congress sign the Coronavirus Aid, Relief, and Economic Security (CARES) Act?","March 27, 2020",3
2068497.pdf,What is the decay rate of the Las Vegas metropolitan statistical area compared to the state average?,9.5 percent compared to the State’s decay rate of 6.8  percent,8
2068497.pdf,"Between February 2007 and April 2007, what was the peak employment level reached in the Carson City MSA?","33,300",0
2070070.pdf,What was the main focus of Ferdinand Kähler's work?,"bio-  and CO 2 -based chemicals and materials with a  focus on strategies, technology, markets, policy and  sustainability",1
2070070.pdf,Which industry primarily uses virgin fossil carbon as the foundational material for its products?,chemical industry,21
2070070.pdf,What percentage of global warming effects is attributed to emissions of carbon-containing greenhouse gases?,92 %,7
2085852.pdf,"What were the demographics of the participants in the study titled ""Age and Vigilance: The Effects of Event Rate and Task Pacing""?",Thirty-six  male  and  twelve  female  volunteers   ages  18  to  76,3
2085852.pdf,How was Trans World Airlines found guilty of age discrimination?,by   not  allowing  pilots  to  become  flight  engineers  and  forcing   them  to  retire  at  age  60,13
2086619.pdf,How did john D Watson die?,heart  at-·  tack,36
2086619.pdf,Where was James P. Watson born?,England,0
2086619.pdf,When was the new line of the Oregon Railroad and Navigation Company extended to McKay?,"August 20, 1881",10
2088597.pdf,What happened to Finland when Noah Lake was formed?,Finland was deserted,7
2088597.pdf,What year did Iohn Catto find Troy?,2002,0
2088597.pdf,What historical civilizations are described in the Commune of Perniö in southwest Finland?,"Norse,  Finnisb and Greek",0
2089825.pdf,How high did Ireland's transport sector's emissions increase in 2015?,4%,4
2089825.pdf,"Under the Climate Action and Low Carbon Development Act, who is obliged to submit an action plan on how Ireland will cut climate pollution?",Denis Naughten TD,0
2089825.pdf,How many organizations make up Stop Climate Chaos? ,30,5
2098077.pdf,What is the maximum length of Sai Yok bent-­toed gecko in inches?,2.4 inches,1
2098077.pdf,What characteristic sets the Sai Yok Bent-toed gecko apart from other species in the Cyrtodactylus genus?,enlarged thigh scales,1
2098077.pdf,What is the name of the new gecko species that was discovered in western Thailand?,Sai Yok bent­toed gecko ( Cyrtodactylus saiyok ),0
