query,pdf,page,modality,pdf_page
What is the total expenditure of Wantage Town Council for year 2020/2021?,1627614,3,table,1627614_4
What was the actual expense in 2009-2010 for equipment for the Department of Parks & Grounds in the City of Melissa? ,1629440,110,table,1629440_111
What was the proposed budget for total debt service expenditure in the city of Melissa for year 2010-2011?,1629440,117,table,1629440_118
What was the total expenses for the year ended 31 March 2020 for sutle j textiles?,1631010,1,table,1631010_2
What is Sutlej Textiles and Industries' revenue from operations for the first quarter of 2020?,1631010,1,table,1631010_2
How much external debt did Surinam have in the year 1968?,1652446,59,table,1652446_60
"How much interest income did PBM Polytex Limited receive from investing activities at the end of the fiscal year, on March 2019?",1652701,15,table,1652701_16
"How much was the net cash flow from investing activities of PBM Polytex Limited at the year end March, 2019?",1652701,7,table,1652701_8
"How much was the profit before taxation of PBM Polytex Limited at the year end March, 2020?",1652701,7,table,1652701_8
What is the minimum hourly compensation for an assistant engineer in the city of La Mesa?,1667648,57,table,1667648_58
"In 2021, what was the minimum pay for an Administrative aide in La Mesa County?",1667648,64,table,1667648_65
How much was the revenue from operations of Gland Pharma Limited at the quarter end 30-Jun-21?,1679161,1,table,1679161_2
"In Livingston County, what is the total valuation of commercial property in the Iosco township?",1690070,77,table,1690070_78
"What is the total valuation of residential properties in Howell, Brighton, and Fenton in Livingston County?",1690070,77,table,1690070_78
"What is the total estimated costs for Macedo Contracting Services, Inc. across all active contracts in FY19?",1696634,254,table,1696634_255
Which specialty doctors had the most density in 1965?,1697417,70,table,1697417_71
What is the total of income of Neelamalai Agro Industries Limited in the quarter end 31/12/2020?,1721391,1,table,1721391_2
What was the cost of Neelamalai Agro Industries Limited's materials in the year 2021?,1721391,1,table,1721391_2
 In the year 2018 how much was the Progressive Credit Union's bank advance?,1728679,62,table,1728679_63
What is the value of total cash and cash equivalents for Progressive Credit Union in 2019?,1728679,62,table,1728679_63
How much were the depreciation and amortization expenses of Mangalam Organics Limited at the end of the quarter on June 2018?,1731763,2,table,1731763_3
"What is the total un-audited income of Mangalam Organics Limited at the end of the quarter, on June 30, 2017?",1731763,2,table,1731763_3
Who owns the Michigan property located at 619 W. End in the city of Alma?,1740459,1,table,1740459_2
What are the financial liabilities of JSC TBC Leasing in FY2017?,1748512,36,table,1748512_37
What is the total amount of total financial assets of JSC TBC Leasing for the year 2017?,1748512,36,table,1748512_37
"How much compensation did Doug Lansdale receive in the Carroll County Fiscal Court on June 25, 2021?",1748940,1,table,1748940_2
What is the total comprehensive audited income of BanyanTree Bank Limited at the end of the year 2016?,1764787,2,table,1764787_3
What is included in the Policy Incentives program of Victorville disposal in the city of Adelanto?,1771748,21,table,1771748_22
What was the budget given for Union/Palmer Park Improvements by Pikes Peak Rural Transportation Authority in 2017?,1773240,10,table,1773240_11
What was the average cost of construction per mile for Lancefield railway line that opened in 1882?,1784314,70,table,1784314_71
How much did it cost in total to construct the Castlemaine and Dunolly line that opened in 1882?,1784314,70,table,1784314_71
Who is the instructor for Swim Strokes class in the Decatur County Family YMCA?,1825530,9,table,1825530_10
How much was Transport & Investment Barter Company's total capital value in 2019?,1846598,31,table,1846598_32
What is the country of birth of John A Lindstrom?,1853294,30,table,1853294_31
What is the total amount spent by the Philodrill Corporation on Paid-up capital ?,2010544,7,table,2010544_8
"In 2008, what was the total income of Trans-Asia Oil and Energy Development Corporation before the income tax was cut?",2023897,186,table,2023897_187
"In May 2018, how much was the 'County Open Space Taxes Payable' for  the township of Middletown?   ",2028148,36,table,2028148_37
How much was the opening balance in 2012 for the Samuha Indian Money Contribution?,2029194,11,table,2029194_12
"In FY 2004, what is the cost per credit hour in the Mohave district?",2033711,17,table,2033711_18
"In Nevada, which city has the highest unemployment rate?",2068497,14,table,2068497_15
"What is the value of total resources when it comes to non-expandable income of the town of Amherst, Massachusetts?",2071953,145,table,2071953_146
"How much is the interest for Cemetery Perpetual Care in expendable fund of the town of Amherst, Massachusetts?",2071953,145,table,2071953_146
"In 2020-2021, which accounts have more than 100% expenditure for the Tamalpais Community Service District ?",2086192,15,table,2086192_16
Who is the chamber president of Chesterfield Regional Chamber?,2102641,17,table,2102641_18
How many chamber members are there in RiverBend Growth Association?,2102641,17,table,2102641_18
What is the DO District's annual budget for Prof-engineering in fy2018?,2113852,6,table,2113852_7
What was the final salary of refuse clerk in the fiscal year 2012 for the town of Amherst?,2132040,299,table,2132040_300
What is the estimated budget for salaries of years 2016-2017 for the city of Los Banos in wastewater administration?,2136247,91,table,2136247_92
"In 2013 in Prince Edward Island , what are the realized/unrealized gains from Canadian short term investment?",2157001,36,table,2157001_37
"In Prince Edward Island, what is the total investment income of Teachers' superannuation fund investments in 2012?",2157001,36,table,2157001_37
"In 2016, what is the total of incoming resources in North Wales Central?",2159007,17,table,2159007_18
"In Amenia, what fund received the highest adopted budget in 2008?",2165625,44,table,2165625_45
What was the adopted budget for buildings for the town of Amenia in 2008?,2165625,47,table,2165625_48
"In Maricopa County, what is the revenue estimated for detention operations in the year 2020?",2182429,267,table,2182429_268
"In the fiscal year 2020 of Maricopa County, how much revenue is estimated for expedited child support?",2182429,267,table,2182429_268
"In 2020, how much did Huntington Union Free School District spend in total on school food service?",2230433,21,table,2230433_22
"In 2020, what was the total revenue of Huntington Union Free School District on special aid?",2230433,21,table,2230433_22
What are the current liabilities of Winmore Leasing and Holdings Limited for the fiscal year 2019?,2242579,72,table,2242579_73
"In Winmore Leasing and Holdings Limited, who held the highest amount of equity shares in FY2019?",2242579,85,table,2242579_86
"What were the court-related expenditures in Morgan County, Illinois for FY16?",2265545,42,table,2265545_43
What were the general expenses of Morgan County for the fiscal year 2016?,2265545,42,table,2265545_43
"What were the expenses in the circuit clerk's office for fiscal year 2016 in Morgan County, Illinois?",2265545,44,table,2265545_45
What is the maximum water depth in Wave Energy in Maine?,2265799,1,table,2265799_2
What is the maximum pay for the profile of Detention Officer in Warren County?,2287197,43,table,2287197_44
What is the pay grade of a Deputy Sheriff in Warren County?,2287197,43,table,2287197_44
What is the total amount deposited on 26th April 2017 in Superstition Fire & Medical District?,2314789,50,table,2314789_51
What is the total weight of Mitridae remains found in VK-10 test pit?,2317231,27,table,2317231_28
What is the total budget given for Environment and Public Health Services of Resort Village of Coteau Beach in the year 2018?,2341333,1,table,2341333_2
What is the program that the city of Brea offers for affordable housing?,2342003,7,table,2342003_8
"How much did Eaton County, Michigan spent in total for the fiscal year 2020?",2343348,98,table,2343348_99
What is the total income from operations of GI Engineering Solutions Limited consolidated in 31-03-2019?,2348095,1,table,2348095_2
Which Municipality has lowest proportionate cost% in the enrollment list of Northern Berkshire Vocational Regional School District?,2355048,2,table,2355048_3
What is the proportionate cost percentage of the Florida location in relation to the enrollments of all schools in the the Berkshire Vocational Regional School District.,2355048,2,table,2355048_3
"As on 31st March 2021, how much was the  total assets of Jindal Hotels Limited?",2395202,2,table,2395202_3
How much was the overall total of non PSCP funds for State Capital Improvement Program for Montgomery County Public Schools?,2397236,18,table,2397236_19
Which department in Mayo Clinic had the lowest number of physicians working less than full-time in year 2009?,2402490,2,table,2402490_3
"In Mayo Clinic, how many physicians worked less than full-time in the year 2010?",2402490,2,table,2402490_3
How much was the loss from operations in Oak Beach Water District?,2407280,30,table,2407280_31
How much is the rental income from water plant in the East Farmingdale Water District?,2407280,30,table,2407280_31
In 2020 how much were the supplemental taxes for the town of Boothbay Harbor?,2415001,65,table,2415001_66
"As of 2020, what is the total of collections and credits for the town of Boothbay Harbor?",2415001,65,table,2415001_66
What was the net gain from the operations of the Fellowship of Alcoholics Anonymous in November 1981?,2416020,84,table,2416020_85
What was the highest operating expense in November 1981 for the Fellowship of Alcoholics Anonymous?,2416020,84,table,2416020_85
What are the top three consumer complaint categories of 2008?,1009210,11,chart,1009210_12
Which 3 categories did extremely well in terms of consumer complaints?  ,1009210,11,chart,1009210_12
What's the longest recent US recession?,1010876,0,chart,1010876_1
Is the 12-Month default rate usually higher than high-yield spread to worst during recessions? ,1010876,0,chart,1010876_1
Which allegation is submitted highest to RTAs formal review panel in 2020?,1014669,0,chart,1014669_1
How many total allegations for bad practice are submitted to RTAS formal review panel during the years 2018-2021?,1014669,0,chart,1014669_1
"By 2017, which fastest-growing occupation had the highest-paid individuals?",1015168,60,chart,1015168_61
Which occupation will probably lead with maximum employment changes? ,1015168,60,chart,1015168_61
Does Montague have a higher daily flow rate in March or Februrary? ,1015310,114,chart,1015310_115
How many days did it take FL Proposal to reach a 100% cumulative rate? ,1015310,158,chart,1015310_159
Did more teachers agree with personalized professional learning methods over conventional methods?,1026724,76,chart,1026724_77
Which continent registered the minimum number of COVID-19 confirmed cases per million people between 2020 and 2021?,1033871,4,chart,1033871_5
"Which continent had the first spike of covid-19 cases in the year 2020, and during which month? ",1033871,4,chart,1033871_5
What province had the least impact on driving and walking as a form of mobility during the COVID-19 pandemic in July of 2021?,1039340,11,chart,1039340_12
What is the relative sea level trend in new york?,1057014,17,chart,1057014_18
What is the margin of error for the relative sea level trend with a 95% confidence interval? ,1057014,17,chart,1057014_18
What age group is most concerned about the environmental impact of fast fashion? ,1061225,32,chart,1061225_33
Which sector has the maximum Manufacturing sales in Canada in time period (2021-04/2020-02)?,1067421,3,chart,1067421_4
Which non-durable manufacturing sectors in Canada saw little to no growth in sales from 2020 to 2021? ,1067421,3,chart,1067421_4
"In Japan, what is the maximum inorganic arsenic concentration level in rice in 2012?",1067785,14,chart,1067785_15
What is the proposed standard of CODEX for inorganic arsenic concentrations in rice?,1067785,14,chart,1067785_15
What is the C/D highway range for 2019 Kia Niro EV model?,1067991,15,chart,1067991_16
How much C/D highway range does 2018 Tesla Model 3 Long Range have?,1067991,15,chart,1067991_16
What kinds of animals were poached in Singapore in 2016?,1075664,8,chart,1075664_9
What is the percentage of total market value for apartments in Anoka city in 2020?,1077654,15,chart,1077654_16
What percentage of Anoka's total market value is residential in 2021?,1077654,15,chart,1077654_16
What percentage of women's cholesterol intake comes from eggs?,1086222,12,chart,1086222_13
Are meat products the main reason for cholesterol intake? ,1086222,12,chart,1086222_13
Between Burgerspital and St. Otmar which system is more frequently used?,1086404,92,chart,1086404_93
What percentage of individuals have rated having a negative experience at Chipotle?,1088696,1,chart,1088696_2
Which American quick service Mexican restaurant do people have the best experience with? ,1088696,1,chart,1088696_2
"In June 1996, how many Florida residents found it difficult to afford health care from Blue Cross Blue Shield?",1094494,28,chart,1094494_29
How many Floridians found it not that difficult to afford health care costs from Blue Cross Blue Shield in January 2001?,1094494,28,chart,1094494_29
What are the top two reasons why replicating a UIA project in a city would be difficult? ,1108655,19,chart,1108655_20
What percentage of air show participants are college graduates?,1124304,1,chart,1124304_2
How many passenger assists requested by ScotRail in year 2020-21?,1138736,1,chart,1138736_2
What station facility owner requested the least passenger assistance from 2020 to 2021?,1138736,1,chart,1138736_2
What country did the U.S. export the most agricultural goods to between January 2021 and April 2021?,1158777,3,chart,1158777_4
What is the percentage of Accelerated Ventures in Emerging Markets likely to grow in regard to equity?,1163031,18,chart,1163031_19
"In 2021, what study was made to regulate flood protection for new buildings?",1166908,63,chart,1166908_64
What governmental policy/regulations are implemented from 2020 to 2025 to establish adapted zoning policies and regulations?,1166908,63,chart,1166908_64
During what period did most people begin living in their current residence in San Marino?,1167316,225,chart,1167316_226
What is the most commonly occurring mortgage payment in the SCAG region?,1167316,236,chart,1167316_237
what percentage of mortgage payments in san marino are between $500-$1000?,1167316,236,chart,1167316_237
How much was the CIP expenditure in the March FY 2020-2021?,1167316,370,chart,1167316_371
Which month has the maximum CIP expenditure in FY 2019-2020?,1167316,370,chart,1167316_371
How does ApolloMed reduce administrative costs? ,1177367,6,chart,1177367_7
What factors contribute to ApolloMed's ability to achieve better per member per month payments compared to industry standards?,1177367,6,chart,1177367_7
"After community clinics, what is the preferred destination of pregnant mothers for PNC?",1178516,22,chart,1178516_23
A scientific agreement is more promising with or without a pre-message estimate?,1179117,11,chart,1179117_12
What is the approximate actual level of scientific agreement?,1179117,11,chart,1179117_12
are emergency services like firefighting a priority for citizens in redmond,1180635,37,chart,1180635_38
Do the citizens of Redmond place great importance on maintaining city buildings as a city service? ,1180635,37,chart,1180635_38
In which year there is maximum growth of Roche Annual Op. Income?,1192656,13,chart,1192656_14
How much was GSK's Annual Op. Income growth % difference when comparing year 2019 an 2020?,1192656,13,chart,1192656_14
What percentage of total fatalities and serious injuries are due to speeding? ,1194442,10,chart,1194442_11
Where do car crash fatalities and serious injuries happen the most?,1194442,10,chart,1194442_11
How much did the U.S. import from India in 2016 in agricultural goods?,1194605,7,chart,1194605_8
What year had the lowest U.S. Agricultural imports with India between 2006-2016?,1194605,7,chart,1194605_8
What is the levelised cost of energy in black coal for Lazard 2019?,1204831,18,chart,1204831_19
What energy source has the highest levelised cost of energy?,1204831,18,chart,1204831_19
Do trucks or cars create more carbon?,1247804,14,chart,1247804_15
What is the reconfiguration cycle in the progress to low carbon transition?,1247804,14,chart,1247804_15
How do most people feel when playing video games in general?,1255446,5,chart,1255446_6
"Between Flappy Bird and Breakout, which game is more boring?",1255446,5,chart,1255446_6
What is the expected NPL ratio at the end of 2020?,1262031,20,chart,1262031_21
What was the NLP ratio in August of 2017?,1262031,20,chart,1262031_21
Do gas furnaces use hydrogen?,1267098,68,chart,1267098_69
What was the net exposure of Texas Treasury Safekeeping Trust Company for absolute return strategy in June 2010?,1276343,16,chart,1276343_17
"In Texas Treasury Safekeeping Trust Company, what was the short exposure rate for LSE in June 2010?",1276343,16,chart,1276343_17
"Who gave the highest return in comparison of 5 year cumulative total among Sinclair Broadcast Group, The NASDAQ Composite Index, and The NASDAQ Telecommunications Index??",1281699,38,chart,1281699_39
"Are obesity rates higher in Lazio, Italy or Tuscany, Italy? ",1301765,5,chart,1301765_6
Name the US regions which maintained material expenditures per capita at par with the State Average in FY 2019?,1303168,40,chart,1303168_41
Which county had the maximum material expenditures per capita in 2019?,1303168,40,chart,1303168_41
What are some forms of traditional media?,1306483,210,chart,1306483_211
What was the largest number of Fundy Cows calves in northern habitat use pattern?,1310912,62,chart,1310912_63
"In which year, Business profits tax of New Hampshire reach to its peak?",1312679,12,chart,1312679_13
"In which year, there is a biggest downfall in the Business Enterprise tax of New hampshire?",1312679,12,chart,1312679_13
"In 2021, what is the decline rate in employment of the white population in United States?",1312679,36,chart,1312679_37
"Within the Hispanic community, which gender experienced the most change in employment from February 2020 to February 2021?",1312679,36,chart,1312679_37
"In New Hampshire, for the year 2020, what kind of tax brought the most revenue?",1312679,59,chart,1312679_60
What was the tax revenue for business profits in New Hampshire for the year 2020? ,1312679,59,chart,1312679_60
"Between 2019 and 2021, how much of an increase do we see in EV production?",1316286,1,chart,1316286_2
What are five opportunities that could produce up to 3.5% annual growth over the next decade?,1319738,21,chart,1319738_22
What proves to be an effective marketing platform for Cockburn city's football games?,1321440,176,chart,1321440_177
Least popular source of advertising for fremantle football club 2019?,1321440,176,chart,1321440_177
Who were the organizers of the City of Cockburn Christmas Event in 2019?,1321440,179,chart,1321440_180
Did majority of people think that the Dockers organized the Cockburn Christmas Collective? ,1321440,179,chart,1321440_180
What percentage of all students enrolled in the Camarillo Academy of Progressive Education met the standards for English literacy? ,1325730,95,chart,1325730_96
Which province in Thailand had the least impact on walking and driving during the COVID-19 pandemic in mid-June of 2021?,1333360,11,chart,1333360_12
"In mid-June of 2021, how many new deaths were accounted for due to covid-19 in Bangkok? ",1333360,2,chart,1333360_3
"During mid-June of 2021, how many new cases of covid did the province of Kalasin reported?",1333360,2,chart,1333360_3
What was the reason that caused an outburst of COVID-19 cases at a rapid level within Thailand in June 2018?,1333360,4,chart,1333360_5
What province of Thailand experienced the most Covid cases in the workplace during mid-June of 2021?,1333360,4,chart,1333360_5
What percentage of individuals that heavily use alcohol also use Marijuana?,1334401,35,chart,1334401_36
What percentage of individuals that heavily use opioids also heavily use alcohol?,1334401,35,chart,1334401_36
What are singapore's top three imported commodities?,1338399,29,chart,1338399_30
Has there been a slowdown in global warming?,1349205,38,chart,1349205_39
Since what year has global temperatures been in a steady increase? ,1349205,38,chart,1349205_39
What was the RES abatement in 2014?,1364267,1,chart,1364267_2
What was the LIB Cell Manufacturing Costs in USD per kWh in Korea in 2014?,1373468,21,chart,1373468_22
What sectors contribute most to greenhouse gas emissions in the US?,1378521,127,chart,1378521_128
"In 2010, what was the greenhouse gas emissions from land use value in Kazakhstan? ",1381956,5,chart,1381956_6
What was the conditional number in 2020 of greenhouse gas emissions excluded from land use in Chile? ,1381956,6,chart,1381956_7
What is expected of greenhouse gas emission rate from land use with current policies in Chilie?,1381956,6,chart,1381956_7
What was the average commercial landing value of dungeness crab between 2012 and 2016?,1387893,84,chart,1387893_85
What was the average firearm suicide rate of Seattle residents from 2012-2016?,1391979,26,chart,1391979_27
What was the average firearm suicide rate of King County residents from 2012-2016?,1391979,26,chart,1391979_27
Do most countries still see globalisation as a force for good in the world?,1399720,5,chart,1399720_6
Would it be a fair assessment that Danish people generally see globalisation positively?,1399720,5,chart,1399720_6
How do energy storage options impact total monthly bills?,1404777,11,chart,1404777_12
What is the lowest billing month without energy storage?,1404777,11,chart,1404777_12
"In CA, what percentage of individuals with a disability chose their case manager?",1416287,39,chart,1416287_40
What's the cheapest place on earth to mine nickel?,1416620,9,chart,1416620_10
Is Koniambo the most expensive place to mine nickel?,1416620,9,chart,1416620_10
What is the highest percentage of Metallurgical Corporation of China when it comes to pre-loan repayment? ,1416620,3,chart,1416620_4
Does JV interest increase from the pre-loan repayment phase to the post-loan repayment phase?,1416620,3,chart,1416620_4
In what year did the number of airline passengers for both domestic and international travel decline significantly?,1462934,1,chart,1462934_2
Is Covid-19 the reason for a decline in total airline passengers?,1462934,1,chart,1462934_2
"How much solar power was generated in Germany on September 29th, 2020?",1468459,8,chart,1468459_9
"In Germany, what was the cost of wind power generated on October 1st, 2020?",1468459,8,chart,1468459_9
Which facility type administered more Covid vaccine doses? ,1476536,4,chart,1476536_5
What type of vaccine was administered the most? ,1476536,4,chart,1476536_5
What contributed to the increase in net assets for the City of Cleveland's business-type activities?,1495736,27,chart,1495736_28
Do people believe American forces in Iraq reduced the amount of violent incidents happening there? ,1496713,176,chart,1496713_177
What method of transportation has the highest mortality rate?,1500797,7,chart,1500797_8
What mode of travel has the lowest death rate?,1500797,7,chart,1500797_8
What is believed to be the most significant barrier to having a smoke-free policy on the proprety?,1500961,15,chart,1500961_16
What is the least significant barrier to smoke-free policies?,1500961,15,chart,1500961_16
Were there more EDGAR v5.0 anthropogenic emissions in Northern Europe or Western Europe? ,1501569,9,chart,1501569_10
Is the memory skill of word list recall higher in children that take extra music lessons or those that don't?,1507398,14,chart,1507398_15
What aspect of a child's memory can improve with extra music lessons?,1507398,14,chart,1507398_15
Was DPT vaccinations in India covered more during pre-covid or post?,1507643,11,chart,1507643_12
what happened to the maternal and child healthcare once covid took place in india?,1507643,11,chart,1507643_12
"Between Ethiopia and India, which one has a higher child mortality percentage? ",1507643,2,chart,1507643_3
What was the highest Goldman Sachs stock price target between 2018 and 2019?,1508179,7,chart,1508179_8
What government is thought  by the most people to have much more to do to address climate change? ,1515108,15,chart,1515108_16
What country has the highest percentage of citizens participating in a citizen's campaign?,1515108,19,chart,1515108_20
Where would people be the least likely to participate in actions for climate change? ,1515108,19,chart,1515108_20
Where do people think climate change is happening the most?,1515108,6,chart,1515108_7
Where do people think climate change is happening the least? ,1515108,6,chart,1515108_7
Which state had the highest electricity price in 2018?,1519813,210,chart,1519813_211
What state had the lowest average price of electricity in the industrial sector 2018?,1519813,210,chart,1519813_211
Was there a correlation between the unemployment rate and stimulus checks? ,1546950,5,chart,1546950_6
What year had the best satisfaction for mobile AR in games? ,1547364,10,chart,1547364_11
Which year of mobile AR was at its lowest rating of neither satisfied or dissatisfied?,1547364,10,chart,1547364_11
What kind of mobile AR experiences are people most excited about? ,1547364,16,chart,1547364_17
Top 3 most popular mobile AR experiences 2019?,1547364,16,chart,1547364_17
What is the main reason for someone to not be interested in mobile AR?,1547364,18,chart,1547364_19
"In the year 2019, how many people were unsure if their phone was compatible for mobile AR?",1547364,18,chart,1547364_19
In what population is hypertension more prevalent? ,1547441,11,chart,1547441_12
What portion of men that are 18 and over experience hypertension?,1547441,11,chart,1547441_12
"in 2008, what had the most change in biodiversity regarding wheat bioethanol?",1550983,24,chart,1550983_25
What economic sector contributed the least to Greenhouse Gas Emissions in the U.S. in 2016?,1553874,130,chart,1553874_131
About what percentage do false alarms make in the total amount of incident calls for a fire station? ,1555443,10,chart,1555443_11
What was the revenue of pharr international bridge in 2014?,1559371,110,chart,1559371_111
"In 2017, what percentage of total of units sold by Bolivar Aqua Zone where season passes?",1568081,50,chart,1568081_51
How many private lesson units were sold by Bolivar Aqua Zone in the 2017 season?,1568081,50,chart,1568081_51
"How did South African GDP differ from emerging market GDP in the Finance, real estate and service sector?",1585980,13,chart,1585980_14
How much is Ohio State investing in their momentum campaign? ,1593260,283,chart,1593260_284
How much did Ohio State University raise from private gifts for the William Oxley Thompson Library Campaign?,1593260,283,chart,1593260_284
what year did Brisbane and outer LA's number of sales were at its highest between 2011 and 2021?,1593732,7,chart,1593732_8
Is there a difference between how the LSTM behaves depending on the type of activation function?,1593927,14,chart,1593927_15
"At Harford County Public Schools in FY15, how many students receiving FARMS funding got free and reduced meals?",1617279,5,chart,1617279_6
What vehicles are most pedestrians hit by typically?,1636203,59,chart,1636203_60
"Over the years, are more physicians adopting EHR systems?",1637246,20,chart,1637246_21
Was EHR systems adopted quicker than basis systems?,1637246,20,chart,1637246_21
What was the squatting population in Angeles in percentage of total household in March of 1999? ,1639457,50,chart,1639457_51
"What was the population per hospital bed for Baguio, Philippines in 1998? ",1639457,50,chart,1639457_51
How satisfied are the residents of Texas with the condition of street signs and traffic signals?,1662984,54,chart,1662984_55
What is the satisfaction rate for the overall quality of animal control services in the US?,1662984,54,chart,1662984_55
What is the most important reason for living in Missouri City?,1662984,59,chart,1662984_60
How important is the affordability of housing for people living in Missouri City?,1662984,59,chart,1662984_60
Are there more fish caught by purse seines in Seychelles' or foreign exclusive economic zones? ,1678786,14,chart,1678786_15
Did the rising inflation affect households with kids and without kids equally?,1681778,3,chart,1681778_4
The inability of parents to manage food security and expenditures increases or decreased from 2014 to 2016?,1681778,3,chart,1681778_4
In what country do people believe that the US will always protect Europe the most? ,1686655,20,chart,1686655_21
"Out of all the healthcare expenditures in the year 2018, what was UK's maximum expenditure?",1690009,5,chart,1690009_6
What is the approximate value of the UK's overall healthcare expenditures in 2018?,1690009,5,chart,1690009_6
What type of amphetamines has had the biggest increase?,1697708,27,chart,1697708_28
What year did amphetamines nfd decrease the most in percent usage? ,1697708,27,chart,1697708_28
Which age group shows the most use of cannabis as a drug of concern? ,1697708,31,chart,1697708_32
How many percent of population in South Australia has English as a preferred language?,1697708,82,chart,1697708_83
Which age groups had the highest amount of drug treatment services needed in South Australia during 2019-2020? ,1697708,82,chart,1697708_83
What substance has the highest proportion of closed treatment episodes? ,1697708,96,chart,1697708_97
What was the operating budget for the 2019-21 biennium?,1704905,8,chart,1704905_9
Is Tay Valley a major crime contributor to All Lanark County? ,1763467,24,chart,1763467_25
How many break & enter crimes occurred in the 1st quarter of 2021 in Tay Valley?,1763467,27,chart,1763467_28
"In All Lanark County, how many break and enters occurred in 2020? ",1763467,27,chart,1763467_28
"Of the Boomer Generation, what percentage seeks to understand how a charity uses its money before donating? ",1771121,8,chart,1771121_9
Which region in Europe has had the most confirmed covid-19 deaths?,1789126,1,chart,1789126_2
"According to the Ministry of Health, when did COVID-19 cases in Trinidad and Tobago start noticing a significant rise? ",1796331,17,chart,1796331_18
When did the recovery ratio of the COVID-19 patients come closest to positive cases being reported in Trinidad and Tobago?  ,1796331,14,chart,1796331_15
Do fathers spend more hours a week on sport activities than mothers do? ,1797289,12,chart,1797289_13
"Which parents, fathers or mothers, are more likely to spend their leisure time watching TV?",1797289,12,chart,1797289_13
What years had the highest interest rates in the US?,1813041,3,chart,1813041_4
Around how much revenue did Apple Airpods generate in 2023?,1821485,2,chart,1821485_3
The US Hearable Hardware market has been dominated by which company since 2018?,1821485,2,chart,1821485_3
Which domain covers maximum Xen development in 2011?,1826363,4,chart,1826363_5
"When considering domains for Xen Development, how much did the xen.org covers in 2011?",1826363,4,chart,1826363_5
Which American political party is the least likely to be vaccinated for COVID-19 2020?,1844014,26,chart,1844014_27
How much did Texas Treasury Safekeeping Trust Company allocate to emerging markets in 2010?,1845709,2,chart,1845709_3
In what year did covid deaths begin to be recorded?,2017568,10,chart,2017568_11
Which scenario of the Sixth Carbon budget had a higher consumption rate for economy-wide oil in year 2050?,2019379,14,chart,2019379_15
"In 2035, how much consumption of economy-wide oil is predicted for CB6 Widespread Engagement of Sixth Carbon budget?",2019379,14,chart,2019379_15
At what income levels did families experience a general decline in interest in degree or certificate undergraduate programs?,2029694,56,chart,2029694_57
Where do people expect to work from home the least? ,2040706,5,chart,2040706_6
Which age group in the U.S. primarily use cable to watch TV? ,2041114,10,chart,2041114_11
"What was the overall preference scent in body oil, clay mask and skin cleanser?",2065810,5,chart,2065810_6
Does the majority of stalking incidents result in a protective order? ,2068804,14,chart,2068804_15
What percentage of victims report stalking incidents to police?,2068804,14,chart,2068804_15
Does yoked older participants' mean reaction time increase or decrease as time spent on task increases?,2085852,48,chart,2085852_49
Can younger or older people perform more tasks per minute?,2085852,48,chart,2085852_49
In what year was the greatest decline in the S&P 500 index earnings momentum?,2088268,2,chart,2088268_3
What year had the greatest decline in momentum for the MSCI UK index earnings between 2016 and 2021?,2088268,2,chart,2088268_3
What is the percentage of retail sales on wheat ridge by food stores in 1990?,2094782,15,chart,2094782_16
In what year did broadband subscriptions take its highest jump?,2095592,4,chart,2095592_5
Which financial crisis in history had the most importance? ,2098217,19,chart,2098217_20
when was the first ever global financial crisis of the 21st century?,2098217,19,chart,2098217_20
"when considering the levels of teacher decision making, does high tdm increase or decrease the percentile ranking of students proficiency?",2098649,4,chart,2098649_5
"In Fall 2010, what percentage of enrollments were male in New Carrington College California?",2101137,153,chart,2101137_154
Did more people struggle to afford food in 2013 or in 2008? ,2105686,7,chart,2105686_8
What is the third most important value for the Upper Clutha?,2107306,39,chart,2107306_40
what is known to be the least important value for the upper clutha?,2107306,39,chart,2107306_40
What US political ideology is concerned with protecting the country from outside threats?,2108654,5,chart,2108654_6
"How many people were hospitalized in Thailand on May 21, 2021? ",2109599,1,chart,2109599_2
Which county had the lowest staff expenditures for all Georgia public libraries in 2020? ,2112586,46,chart,2112586_47
Which Georgia county had the highest total staff expenditures per person in fiscal year 2020?,2112586,46,chart,2112586_47
How many mobile users have used the AR Core App in the USA?,2112777,7,chart,2112777_8
How many mobile users have never been exposed to any type of Augmented Reality Apps in the USA?,2112777,7,chart,2112777_8
what country generates the lowest on average gdp from the BRIC countries from 2014-2024?,2133471,9,chart,2133471_10
What percentage of survivors of domestic battery cases in Downers Grove in 2019 were Asian? ,2150155,54,chart,2150155_55
How many euros is the V. Security and Defense budget?,2156116,2,chart,2156116_3
"What is the total number for new cases of COVID reported in Bangkok on May 27, 2021?",2177136,2,chart,2177136_3
"How many COVID deaths were reported in Nonthaburi on May 27, 2021?",2177136,2,chart,2177136_3
"In 1998, how much electricity is consumed by the residents of Arizona?",2183691,56,chart,2183691_57
What was the average price industries had to pay for using electricity across years 1990 to 2013?,2183691,56,chart,2183691_57
"After 2030, are median wind prices expected to be above or below what they were in 2019?",2210845,105,chart,2210845_106
What city of South Carolina had the biggest population change between 2010 and 2017? ,2225114,16,chart,2225114_17
"In Orlando, what is the total % of registered voters?",2226932,21,chart,2226932_22
Which cities in Florida have the lowest number of registered voters?,2226932,21,chart,2226932_22
"Since President Eisenhower, have trends in the United States shown public trust in the government to have increased or decreased?",2226932,45,chart,2226932_46
